50,50,64,64
11,11,11,11,11,11,11,11,11,69,72,70,41,41,41,41,11,22,1,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,1,50,64,65,65,65,65,65,65,65
11,11,11,11,11,11,11,14,11,69,72,70,41,41,41,41,11,22,1,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,1,50,71,49,49,49,49,49,49,49
11,11,11,11,11,11,11,11,11,69,72,70,41,41,41,41,11,22,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,50,41,41,41,41,41,41,41,41
11,11,11,11,11,11,11,11,11,69,72,70,41,41,41,41,11,22,1,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,15,1,50,41,41,41,41,41,41,41,41
11,11,11,11,11,11,11,11,11,69,72,70,41,41,41,41,11,22,1,24,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,22,1,50,41,41,41,41,41,41,41,41
11,11,11,11,11,11,11,11,11,69,72,70,41,41,41,41,11,22,1,24,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,22,1,50,11,11,11,11,11,11,11,11
11,11,11,11,11,11,11,11,11,69,72,70,41,41,41,41,11,22,1,24,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,49,22,1,50,49,49,49,49,49,49,49,11
11,11,11,11,11,11,11,11,11,69,72,70,41,41,41,41,4,0,1,24,29,29,29,29,29,29,29,29,29,49,49,49,49,49,49,49,49,49,49,22,1,50,49,33,33,33,33,33,49,11
11,11,11,11,11,11,11,11,11,69,72,70,41,41,41,41,22,8,8,24,29,29,29,29,29,29,29,49,49,49,49,49,49,49,49,49,49,49,49,22,1,50,49,33,33,33,33,33,49,11
11,11,11,11,11,11,11,11,11,69,72,70,41,41,41,41,22,1,17,21,29,29,29,29,29,49,49,49,49,49,49,49,49,49,49,49,49,49,49,22,1,50,49,33,33,33,33,33,49,11
11,11,11,11,11,11,11,11,11,69,72,70,41,41,41,41,22,1,24,11,29,29,29,49,49,49,49,49,49,49,49,49,49,49,49,49,11,11,49,22,1,50,49,33,33,33,33,33,49,11
62,62,62,62,62,62,62,62,62,83,72,70,41,41,41,41,22,1,24,49,49,49,49,49,49,49,49,49,49,49,49,49,4,3,3,3,3,3,3,0,1,27,28,28,28,28,28,28,28,28
77,77,77,77,77,77,77,77,77,77,77,78,41,41,41,41,22,1,24,49,49,49,49,49,49,49,49,49,49,49,49,49,22,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,0,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,24,11,11,11,11,11,11,11,11,11,11,11,11,11,11
41,41,41,41,15,1,26,26,26,26,26,26,1,26,26,26,26,26,26,1,17,18,18,18,18,18,18,18,15,1,1,42,40,1,1,24,11,11,11,11,11,11,61,62,62,62,62,62,62,62
41,41,41,41,22,1,26,26,26,26,26,26,1,26,26,26,26,26,26,1,24,61,62,63,11,11,35,35,22,1,1,50,48,1,1,24,11,11,11,11,11,11,83,49,49,49,49,49,49,49
41,41,41,41,22,1,9,9,9,9,9,9,9,9,9,9,9,9,9,1,24,69,72,70,11,11,35,35,22,1,1,50,48,1,1,24,11,11,11,11,61,49,49,49,49,49,49,49,49,49
41,41,41,41,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,21,69,72,70,11,11,35,35,22,1,1,50,48,1,1,24,11,11,11,11,49,49,49,49,49,49,49,49,49,49
41,41,41,41,61,83,72,72,72,72,72,72,72,72,82,63,11,11,11,11,11,69,72,70,11,11,35,35,22,1,1,50,48,1,1,24,11,11,61,49,49,49,49,49,49,49,49,49,49,49
41,41,41,41,69,72,72,72,72,72,72,72,72,72,72,74,11,11,61,62,62,83,72,70,11,11,35,35,22,1,1,50,48,1,1,24,11,11,49,49,49,49,49,49,49,49,49,49,49,49
41,41,41,41,69,72,72,72,72,72,72,72,72,72,72,74,62,62,83,72,72,72,72,70,11,11,35,35,22,1,1,50,48,1,1,24,11,11,49,49,49,49,68,77,77,77,67,49,49,49
41,41,41,41,69,72,72,72,72,72,72,72,72,72,72,49,49,49,49,72,72,72,72,70,11,11,35,35,22,1,1,50,48,1,1,24,11,11,49,49,49,49,74,11,11,11,76,67,49,49
41,41,41,41,76,67,72,72,72,72,72,72,72,72,68,77,77,77,67,72,72,72,72,70,11,11,35,35,22,1,1,50,48,1,1,24,11,11,76,49,49,49,74,11,11,11,11,76,77,77
11,11,11,11,11,76,67,72,72,72,72,72,72,72,74,11,11,11,76,72,72,72,72,70,11,11,35,35,22,1,1,50,48,1,1,24,11,11,11,49,49,49,74,11,11,11,11,11,11,11
11,11,11,11,35,35,76,67,72,72,72,72,72,68,78,11,29,11,11,76,67,72,72,70,11,11,35,35,22,1,1,50,48,1,1,24,11,11,11,76,49,49,74,11,11,11,49,11,11,11
11,29,29,35,35,35,35,76,77,77,67,72,68,78,11,11,29,29,29,29,76,72,72,70,11,11,35,35,22,1,1,50,48,1,1,24,11,11,11,11,76,72,82,11,11,11,76,67,11,11
29,29,29,35,35,35,35,35,35,35,76,77,78,11,11,11,29,29,29,29,11,75,72,70,11,11,35,35,22,1,1,50,48,1,1,24,11,11,11,11,11,76,77,77,77,77,11,76,67,11
29,29,29,29,35,35,35,35,35,35,11,11,11,11,11,11,29,29,29,29,11,69,72,70,11,11,35,35,22,1,1,50,48,1,1,24,11,11,11,11,11,11,11,11,11,11,11,11,76,77
29,29,29,29,29,29,35,35,11,11,11,11,11,11,11,11,29,29,29,29,11,69,72,70,11,11,35,35,22,1,1,50,48,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
63,29,29,29,29,29,29,29,11,11,11,11,11,11,11,11,29,29,29,29,11,69,72,70,11,11,35,35,22,1,1,50,48,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
82,63,29,29,29,29,29,29,29,29,29,11,11,11,11,11,11,11,11,11,11,76,77,78,11,11,35,35,22,1,1,50,48,1,1,42,43,43,43,43,33,33,33,33,1,33,33,33,33,24
72,82,63,29,29,29,29,29,29,29,35,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,1,1,50,48,1,1,50,35,35,51,51,33,33,33,33,1,33,33,33,33,24
72,72,82,63,29,29,29,29,29,29,29,48,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,50,48,1,1,50,51,35,35,51,33,33,33,33,1,33,33,33,33,24
72,72,72,82,63,29,29,29,29,29,35,48,1,42,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,55,48,1,1,50,51,35,35,35,33,33,33,33,1,33,33,33,33,24
72,72,72,72,82,63,29,29,29,29,29,48,1,50,37,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,25,1,1,50,51,51,35,35,33,33,33,33,1,33,33,33,33,24
72,72,72,72,72,82,63,29,29,29,29,48,1,50,48,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,50,51,51,51,51,33,33,33,33,1,33,33,33,33,24
72,72,72,72,72,72,82,63,29,29,29,48,1,50,48,1,42,43,43,43,43,43,43,43,43,43,40,1,42,43,43,43,43,43,43,55,51,51,51,51,33,33,33,33,1,33,33,33,33,24
76,72,72,72,72,72,68,78,29,29,35,48,1,50,48,1,50,29,35,29,35,35,35,35,35,35,48,1,50,35,51,51,51,51,35,35,35,35,51,51,33,33,33,33,1,33,33,33,33,24
29,76,72,72,72,68,78,29,29,29,29,48,1,50,48,1,50,35,29,29,29,35,35,35,35,29,48,1,50,35,35,51,51,51,51,51,35,35,35,51,33,33,33,33,1,33,33,33,33,24
29,29,76,72,68,78,29,29,29,29,35,48,1,50,48,1,50,29,35,51,29,29,35,35,29,29,48,1,50,35,35,35,33,33,33,33,33,33,33,33,33,33,33,33,1,33,33,33,33,24
